4568233	   29	2
4568243	   44	0
4568278	  122	0
4568624	   12	2
4568665	   13	2
4568668	   26	2
4568671	   40	2
4568675	   12	2
4568685	   13	2
4568688	    0	2
4568706	   19	2
4568718	    3	2
4568727	   15	2
4568731	   36	2
4568741	   12	2
4568748	   32	2
4568781	    6	2
4568783	   15	2
4568784	   27	2
4568786	   12	2
4568790	    2	2
4568790	    3	2
4568797	   36	2
4568798	   14	2
4568803	    6	2
4568809	    7	2
4568813	    1	2
4568816	    8	2
4568817	   24	2
4568824	    5	2
4568831	   19	2
4568833	    8	2
4568833	    9	2
4568844	   91	2
4568845	    9	2
4568849	    1	2
4568850	   44	2
4568850	   45	2
4568853	   13	2
4568854	    7	2
4568857	    6	2
4568858	   16	2
4568861	   27	2
4568862	   14	2
4568865	    1	2
4568868	   10	2
4568871	    6	2
4568873	   40	2
4568885	    0	2
4568890	   77	2
4568891	   39	2
4568892	   89	2
4568894	    2	2
4568898	    3	2
4568900	    2	2
4568902	    4	2
4568902	    5	2
4568908	   23	2
4568909	    1	2
4568910	   12	2
4568914	    4	2
4568917	   11	2
4568920	    1	2
4568924	    6	2
4568932	   20	2
4568934	   13	2
4568941	    9	2
4568942	   15	2
4568946	    3	2
4568964	   20	2
4568966	    4	2
4568968	   34	2
4568972	   16	2
4568975	    4	2
4568977	    4	2
4568978	    1	2
4568982	    8	2
4568984	   14	2
4568985	    9	2
4568988	    7	2
4568991	    8	2
4568992	    8	2
4568994	    7	2
4569556	   67	2
4569563	   12	2
4569574	    9	0
4569599	   25	0
4569620	   23	0
4569627	    1	0
4569634	    8	0
4569637	    7	0
4569644	   22	0
4569653	    7	0
4569662	   19	0
4569662	   34	3
4569677	    8	0
4569681	   12	0
4569688	   27	0
4569703	   37	0
4569705	   16	0
4569707	   18	0
4569711	    9	0
4569719	    3	0
4569719	   26	3
4569725	    9	0
4569728	   15	0
4569731	    6	0
4569737	   19	0
4569746	   10	0
4569752	    0	0
4569759	    1	0
4569764	  152	3
4569783	   40	2
4569786	    6	2
4569790	    7	0
4569797	    0	0
4569807	    1	0
4569814	    3	0
4569816	    2	0
4569821	    9	0
4569826	    0	0
4569829	    2	0
4569833	    4	0
4569834	    8	0
4569837	    8	0
4569842	   31	0
4569851	    4	0
4569858	    3	0
4569862	   23	0
4569862	   24	3
4569864	    0	3
4569864	   15	0
4569864	   19	0
4569868	    6	0
4569868	   11	3
4569872	    2	0
4569877	    7	0
4569887	    6	0
4569889	   10	0
4569891	    0	3
4569891	    8	0
4569895	    3	0
4569899	   17	3
4569905	    4	0
4569912	   14	0
4569914	   69	0
4569920	    2	3
4569920	   14	0
4569923	   10	3
4569925	   16	0
4569928	   31	3
4569928	   43	3
4569930	    9	0
4569934	   30	0
4569935	   64	0
4569937	    9	3
4569937	  164	3
4569938	    0	3
4569941	    0	3
4569941	    1	3
4569943	    3	3
4569946	    1	3
4569946	    2	3
4569946	    3	3
4569948	    0	3
4569948	    1	3
4569948	    2	3
4569949	   61	3
4569950	   38	3
4569951	    0	3
4569951	    1	3
4569951	    3	3
4569951	   17	0
4569951	   18	0
4569951	   19	3
4569951	   37	3
4569953	    0	3
4569953	    1	3
4569953	    9	0
4569953	   69	0
4569955	    3	3
4569955	   10	3
4569956	   22	3
4569959	    1	3
4569961	   12	3
4569961	   65	3
4569961	   84	3
4569961	  188	3
4569961	  189	3
4569962	   16	3
4569963	    0	3
4569964	    0	3
4569965	    1	3
4569965	   22	3
4569967	    2	3
4569969	    2	3
4569971	    6	3
4569971	   24	3
4569971	   56	3
4569972	    3	3
4569972	    4	3
4569974	   23	3
4569974	   26	3
4569974	   28	3
4569975	    0	3
4569976	   31	3
4569979	    0	3
4569979	    1	3
4569979	    2	3
4569980	    0	3
4569980	    4	3
4569981	    0	3
4569982	    0	3
4569983	   36	3
4569983	   38	3
4569983	   41	3
4569983	  115	3
4569984	   16	3
4569984	   21	3
4569984	   23	3
4569984	   24	3
4569984	   25	3
4569984	   28	3
4569984	   31	3
4569984	   95	3
4569984	   99	3
4569984	  104	3
4569984	  105	3
4569984	  106	3
4569985	    0	3
4569986	    0	3
4569986	    1	3
4569986	    3	3
4569986	    8	3
4569986	   24	3
4569986	   26	3
4569986	   27	3
4569986	   30	3
4569987	    2	3
4569987	    3	3
4569988	    1	3
4569988	   13	3
4569988	   45	3
4569988	   47	3
4569988	   48	3
4569989	    3	3
4569989	    5	3
4569989	   15	3
4569989	   16	3
4569990	    5	3
4569991	    1	3
4569991	    3	3
4569992	    1	3
4569992	   14	3
4569992	   15	3
4569992	   19	3
4569992	   24	3
4569994	    0	3
4569994	    5	3
4569994	    7	3
4569994	   11	3
4569994	   24	3
4569994	   28	3
4569994	   82	3
4569995	    0	3
4569995	    1	3
4569995	    3	3
4569995	    5	3
4569995	   13	3
4569995	   14	3
4569996	    0	3
4569996	    1	3
4569996	   10	3
4569996	   52	3
4569997	    2	3
4569997	    7	3
4569997	   10	3
4570001	    7	3
4570001	   12	3
4570001	   18	3
4570001	   21	3
4570001	   72	3
4570002	    1	3
4570003	    1	3
4570003	    2	3
4570003	    5	3
4570005	    4	3
4570005	   11	3
4570005	   21	3
4570005	   23	3
4570005	   27	3
4570005	   30	3
4570005	   34	3
4570005	   36	3
4570005	   93	3
4570006	    5	3
4570006	    6	3
4570007	    2	3
4570007	    6	3
4570007	   42	3
4570007	  134	3
4570007	  138	3
4570007	  139	3
4570007	  140	3
4570007	  142	3
4570007	  144	3
4570007	  145	3
4570007	  172	3
4570007	  173	3
4570008	    7	3
4570008	   45	3
4570008	   46	3
4570009	    1	3
4570009	    2	3
4570009	    5	3
4570009	    6	3
4570009	   52	3
4570009	   58	3
4570009	   93	3
4570009	   98	3
4570009	   99	3
4570009	  101	3
4570009	  102	3
4570009	  125	3
4570009	  126	3
4570010	    0	3
4570010	    1	3
4570010	   11	3
4570010	   15	3
4570010	   18	3
4570010	   22	3
4570010	   23	3
4570010	   26	3
4570010	   33	3
4570011	   46	3
4570012	    1	3
4570013	    1	3
4570013	    2	3
4570013	    3	3
4570013	   19	3
4570013	   21	3
4570013	   24	3
4570013	   26	3
4570013	   27	3
4570013	   30	3
4570013	   49	3
4570014	   13	3
4570014	   14	3
4570014	   26	3
4570014	  140	3
4570015	    2	3
4570015	   11	3
4570016	    1	3
4570016	    2	3
4570016	    3	3
4570016	    4	3
4570016	    6	3
4570016	   17	3
4570016	   28	3
4570016	   69	3
4570016	   75	3
4570017	    0	3
4570017	    1	3
4570017	    5	3
4570017	    8	3
4570017	   11	3
4570018	    2	3
4570019	    0	3
4570019	   19	3
4570019	   21	3
4570019	   22	3
4570019	   29	3
4570019	   30	3
4570019	   32	3
4570019	   58	0
4570019	   64	0
4570020	    0	3
4570020	    4	3
4570020	    7	3
4570020	   18	3
4570021	    0	3
4570022	    1	3
4570022	    2	3
4570022	    3	3
4570022	   13	3
4570022	   21	3
4570022	   23	3
4570022	   28	3
4570022	   46	3
4570023	    0	3
4570023	    1	3
4570023	   40	3
4570024	    4	3
4570025	  106	3
4570026	   11	3
4570026	   22	3
4570026	   23	3
4570026	   24	3
4570026	   70	3
4570027	   21	3
4570027	   23	3
4570027	   24	3
4570028	    1	3
4570028	    2	3
4570028	    3	3
4570028	    5	3
4570029	    1	3
4570029	    2	3
4570029	    3	3
4570029	    9	3
4570029	   14	3
4570029	   26	3
4570029	   27	3
4570029	   30	3
4570029	   32	3
4570029	   33	3
4570029	   35	3
4570029	   39	3
4570029	   42	3
4570029	   51	3
4570029	   53	3
4570029	   57	3
4570029	  120	3
4570029	  121	3
4570029	  123	3
4570030	    3	3
4570030	   15	3
4570030	   17	3
